0.0025 0.673464 2.17709 0.844467 0.00336732 0.0108854 0.00422233
0.0075 0.0130706 2.51573 0.274137 0.00343267 0.0234641 0.00559302
0.0125 0.551196 1.04812 0.217133 0.00618865 0.0287047 0.00667869
0.0175 0.416354 0.107823 0.496277 0.00827042 0.0292438 0.00916007
0.0225 2.15586 0.935677 1.32801 0.0190497 0.0339222 0.0158001
0.0275 1.98933 0.39725 1.33597 0.0289963 0.0359084 0.02248
0.0325 0.610871 1.46685e-07 2.11229 0.0320507 0.0359084 0.0330414
0.0375 2.55528 6.11593e-06 1.06739 0.0448271 0.0359085 0.0383783
0.0425 0.0121355 0.0861188 0.614451 0.0448878 0.0363391 0.0414506
0.0475 1.48922 0.213167 1.86802e-05 0.0523338 0.0374049 0.0414507
0.0525 1.26116 0.330804 0.00717081 0.0586396 0.0390589 0.0414865
0.0575 0.872654 0.0793382 0.0070502 0.0630029 0.0394556 0.0415218
0.0625 0.958147 0.0676246 0.241699 0.0677936 0.0397937 0.0427303
0.0675 0.0124903 0.295585 0.453874 0.0678561 0.0412717 0.0449997
0.0725 0.631144 0.167766 0.089688 0.0710118 0.0421105 0.0454481
0.0775 0.092187 0.0908348 0.086851 0.0714727 0.0425647 0.0458824
0.0825 0.0387382 0.0282478 0.0269259 0.0716664 0.0427059 0.046017
0.0875 0.184444 0.00483342 0.671963 0.0725887 0.0427301 0.0493768
0.0925 1.27999 0.303946 0.475368 0.0789886 0.0442498 0.0517536
0.0975 0.793194 0.39293 0.389862 0.0829546 0.0462144 0.053703
0.1025 0.290671 0.00885702 0.0111435 0.0844079 0.0462587 0.0537587
0.1075 0.000752498 0.000416552 5.42497e-05 0.0844117 0.0462608 0.0537589
0.1125 0.000535048 0 5.96447e-05 0.0844144 0.0462608 0.0537592
0.1175 0.0508672 0.109303 0.0432278 0.0846687 0.0468073 0.0539754
0.1225 0.126377 0.507458 0.133188 0.0853006 0.0493446 0.0546413
0.1275 0.0367149 0.346215 0.013405 0.0854842 0.0510757 0.0547083
0.1325 0.429407 0.548131 0.410363 0.0876312 0.0538163 0.0567602
0.1375 0.310002 0.484228 0.41593 0.0891812 0.0562375 0.0588398
0.1425 0.00569583 0.00278241 0.0268643 0.0892097 0.0562514 0.0589741
0.1475 0.0361525 0.0815189 0.104704 0.0893905 0.056659 0.0594977
0.1525 0.0366918 0.0402724 0.0364809 0.0895739 0.0568603 0.0596801
0.1575 0.00262287 0.00510516 0.00206972 0.089587 0.0568859 0.0596904
0.1625 5.59627e-05 0.000553117 2.57944e-05 0.0895873 0.0568886 0.0596905
0.1675 2.35571e-06 0.0518405 0 0.0895873 0.0571478 0.0596905
0.1725 1.85328e-05 1.35755 1.58258e-05 0.0895874 0.0639356 0.0596906
0.1775 3.87369e-06 1.0811 3.88253e-06 0.0895874 0.0693411 0.0596906
0.1825 0.00010204 1.463 9.94764e-06 0.0895879 0.0766561 0.0596907
